事業所番号,住所,緯度、経度,
1410051018661,神奈川県横浜市緑区十日市場８４８－１,35.5236817,139.5112494
1410051026011,神奈川県横浜市港北区錦が丘１９－１８,35.5078467,139.6299874
1410051015600,神奈川県横浜市港北区大倉山３－５－１６,35.520588,139.6296288
1410051018869,神奈川県横浜市南区三春台１０７,35.4425861,139.615193
1410051019230,神奈川県横浜市西区みなとみらい３－５－１,35.4574386,139.631755
1410051019057,神奈川県横浜市緑区十日市場町１２９６,35.5221644,139.5117355
1410051016921,神奈川県横浜市磯子区杉田１－１－１,35.385729,139.6191027
1410051023760,神奈川県横浜市港北区綱島東４－１０－３４,35.541626,139.6464102
1410051018901,神奈川県横浜市旭区左近山１９９７,35.4615573,139.5499088
1410051016954,神奈川県横浜市磯子区杉田９－１－５０,35.3700401,139.6135231
1410051016541,神奈川県横浜市南区浦舟町３－４４－３,35.4341061,139.6266403
1410051015931,神奈川県横浜市戸塚区品濃町５５７－１,35.4337367,139.5623296
1410051014256,神奈川県横浜市金沢区六浦東３－１２－１,35.3178123,139.6161245
1410051014801,神奈川県横浜市港南区最戸１－１６－３,35.4147032,139.5956319
1410051013696,神奈川県横浜市鶴見区江ケ崎町１７－８,35.5371952,139.673228
1410051025674,神奈川県横浜市戸塚区戸塚町４７９０－６,35.4021346,139.5303264
1410051013944,神奈川県横浜市南区宮元町１－１５－１,35.4330382,139.613913
1410051015816,神奈川県横浜市青葉区しらとり台１７－５８,35.5371399,139.5130835
1410051016756,神奈川県横浜市保土ケ谷区明神台５－１,35.4574366,139.5904639
1410051016566,神奈川県横浜市南区六ツ川４－１１５７－２,35.4234357,139.571436
1410051020030,神奈川県横浜市港南区上大岡東１－１８－１８,35.4073894,139.5993927
1410051015709,神奈川県横浜市港北区篠原北２－４－９,35.5100133,139.6296591
1410051016699,神奈川県横浜市保土ケ谷区境木町７５－８２,35.4423744,139.564047
1410051017275,神奈川県横浜市港北区大倉山５－４０－１５,35.5255262,139.623613
