【令和４年４月１日時点】　受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
神奈川区,14102,神ノ木保育園,1410051013845,4,0,1,8,9,7,29,2022-04-01,
神奈川区,14102,グローバルキッズ大口園,1410051023521,0,0,0,0,0,1,1,2022-04-01,
神奈川区,14102,横浜大口雲母保育園,1410051025690,2,0,1,0,0,0,3,2022-04-01,
神奈川区,14102,聖徳保育園,1410051013852,0,0,4,2,1,0,7,2022-04-01,
神奈川区,14102,きゃんばす子安台保育園,1410051024834,1,0,0,1,1,0,3,2022-04-01,
神奈川区,14102,ゆうゆうきっず横浜,1410051013894,0,0,0,2,0,0,2,2022-04-01,
神奈川区,14102,なないろきっど保育園,1410051025351,0,0,3,0,0,1,4,2022-04-01,
神奈川区,14102,グローバルキッズ新子安保育園,1410051019529,2,0,1,0,0,0,3,2022-04-01,
神奈川区,14102,ゆうゆうきっず新子安,1410051024412,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,ＧＥＮＫＩＤＳ新子安保育園,1410051027415,4,3,0,7,1,2,17,2022-04-01,
神奈川区,14102,太陽の子　新子安保育園,1410051013878,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,グローバルキッズ新子安第二保育園,1410051027209,0,1,2,8,6,9,26,2022-04-01,
神奈川区,14102,浦島保育園,1410051014652,1,2,3,0,0,0,6,2022-04-01,
神奈川区,14102,白百合乳児保育園,1410051017986,3,7,2,1,0,1,14,2022-04-01,
神奈川区,14102,第二白百合乳児保育園,1410051017994,1,0,0,0,0,0,1,2022-04-01,
神奈川区,14102,グローバルキッズ子安駅前保育園,1410051024917,4,1,3,2,2,1,13,2022-04-01,
神奈川区,14102,ＹＭＣＡ東かながわ保育園,1410051016277,1,0,2,0,0,1,4,2022-04-01,
神奈川区,14102,ナーサリー横浜ポートサイド,1410051018000,1,0,0,1,0,0,2,2022-04-01,
神奈川区,14102,横浜すきっぷ保育園,1410051016343,3,0,0,3,2,1,9,2022-04-01,
神奈川区,14102,ひびき金港町保育園,1410051024420,-,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,ウィズブック保育園青木町,1410051026599,1,0,0,3,2,1,7,2022-04-01,
神奈川区,14102,認定こども園捜真幼稚園,1410051020469,-,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,うちゅうこども園たんまち,1410051026227,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,保育ルーム　岸根公園前,1410052003571,0,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,こころベイビー,1410052004199,0,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,横浜シュタイナー保育園,1410052003456,-,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,京進のほいくえんＨＯＰＰＡ反町園,1410052004348,0,0,1,-,-,-,1,2022-04-01,
神奈川区,14102,東神奈川ひかり保育園,1410052003464,1,3,2,-,-,-,6,2022-04-01,
神奈川区,14102,キッズパートナー東白楽,1410052004322,0,2,1,-,-,-,3,2022-04-01,
神奈川区,14102,横浜ノーベル保育園,1410052004819,0,1,0,-,-,-,1,2022-04-01,
神奈川区,14102,ＳＵＮＮＹ　ＫＩＤ保育園,1410052004306,0,0,2,-,-,-,2,2022-04-01,
神奈川区,14102,西寺尾チューリップルーム,1410052004330,0,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,京浜保育園パステル,1410052005659,0,1,1,-,-,-,2,2022-04-01,
神奈川区,14102,リトルスカラー新子安保育園,1410052004652,3,4,3,-,-,-,10,2022-04-01,
神奈川区,14102,キッズパートナー新子安,1410052004314,1,3,1,-,-,-,5,2022-04-01,
神奈川区,14102,新町あいりす保育園,1410052004520,-,5,4,-,-,-,9,2022-04-01,
